Date,Open,High,Low,Close,Adj Close,Volume
2018-06-13,18000.000000,18640.000000,17910.000000,18480.000000,17888.371094,70585
2018-06-14,18310.000000,18600.000000,18100.000000,18440.000000,17849.652344,436600
2018-06-17,18440.000000,18630.000000,18330.000000,18440.000000,17849.652344,81317
2018-06-18,18430.000000,18430.000000,18020.000000,18100.000000,17520.537109,136837
2018-06-19,17740.000000,18030.000000,17700.000000,18030.000000,17452.777344,125920
2018-06-20,18160.000000,18180.000000,17800.000000,18070.000000,17491.498047,43672
2018-06-21,18060.000000,18380.000000,18010.000000,18260.000000,17675.416016,101752
2018-06-24,18390.000000,18580.000000,18180.000000,18430.000000,17839.972656,20127
2018-06-25,18360.000000,18590.000000,18330.000000,18500.000000,17907.732422,82362
2018-06-26,18500.000000,18640.000000,18370.000000,18450.000000,17859.333984,65201
2018-06-27,18450.000000,18450.000000,18050.000000,18200.000000,17617.335938,56149
2018-06-28,18070.000000,18150.000000,18030.000000,18140.000000,17559.255859,94860
2018-07-01,18140.000000,18250.000000,18000.000000,18120.000000,17539.896484,16749
2018-07-02,17970.000000,18130.000000,17530.000000,17830.000000,17259.181641,105760
2018-07-03,17670.000000,17940.000000,17460.000000,17590.000000,17026.865234,88683
2018-07-04,17590.000000,17770.000000,17540.000000,17660.000000,17094.623047,17446
2018-07-05,17700.000000,17760.000000,17330.000000,17500.000000,16939.748047,67168
2018-07-08,17500.000000,17550.000000,17360.000000,17490.000000,16930.066406,27435
2018-07-09,17550.000000,17780.000000,17290.000000,17690.000000,17123.662109,41785
2018-07-10,17690.000000,17850.000000,17430.000000,17800.000000,17230.140625,77162
2018-07-11,17650.000000,17750.000000,17550.000000,17660.000000,17094.623047,37274
2018-07-12,17700.000000,18130.000000,17600.000000,17910.000000,17336.621094,56136
2018-07-15,17920.000000,18090.000000,17720.000000,18020.000000,17443.099609,32121
2018-07-16,18020.000000,18110.000000,17790.000000,17920.000000,17346.300781,38165
2018-07-17,18080.000000,18080.000000,17720.000000,18000.000000,17423.740234,42580
2018-07-18,18000.000000,18000.000000,17690.000000,17690.000000,17123.662109,19518
2018-07-19,17510.000000,17680.000000,17310.000000,17310.000000,16755.830078,48169
2018-07-22,17310.000000,17310.000000,17310.000000,17310.000000,16755.830078,0
2018-07-23,17460.000000,17460.000000,17250.000000,17310.000000,16755.830078,18238
2018-07-24,17160.000000,17730.000000,17050.000000,17570.000000,17007.505859,58072
2018-07-25,17640.000000,17870.000000,17470.000000,17850.000000,17278.541016,30414
2018-07-26,18000.000000,18040.000000,17800.000000,17900.000000,17326.939453,137242
2018-07-29,17920.000000,18090.000000,17860.000000,17910.000000,17336.621094,20952
2018-07-30,17900.000000,18040.000000,17790.000000,17960.000000,17385.019531,45456
